name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KLAX	33.9424964	-118.4080486	271°	NA	3979	0	Origin Airport
DLREY	33.9436944	-118.4651389	268°	5.0	3983	5	Waypoint
ENNEY	33.9424722	-118.5057778	265°	4.0	3987	9	Waypoint
NAANC	33.9316667	-118.6438889	177°	13.0	3999	22	Waypoint
HAYNK	33.8405833	-118.6373056	146°	10.0	4003	24	Waypoint
PEVEE	33.6972222	-118.5208333	110°	19.0	3999	29	Waypoint
HOLTZ	33.6445556	-118.343	90°	17.0	3987	34	Waypoint
DOTSS	33.6441111	-117.7952778	77°	51.0	3941	66	Waypoint
EYEDL	33.7513611	-117.2336389	91°	53.0	3888	111	Waypoint
HOMER	33.7460556	-116.9738889	91°	24.0	3867	134	Waypoint
CLEEE	33.7233889	-116.0733056	71°	83.0	3792	217	Waypoint
PKE	34.1019444	-114.6819444	71°	135.0	3657	344	VOR-TAC (NAVAID)
DRK	34.7025522	-112.4803417	74°	213.0	3445	551	VOR-TAC (NAVAID)
KEYKE	34.9498861	-111.386925	75°	104.0	3342	654	Reporting Point
GUP	35.4759992	-108.8726117	71°	236.0	3108	889	VOR-TAC (NAVAID)
CIM	36.4913969	-104.8719997	79°	378.0	2731	1262	VOR-TAC (NAVAID)
TOTOE	37.0445028	-100.9713528	74°	353.0	2382	1615	WAYPOINT
VARNR	37.5865611	-98.3993861	76°	236.0	2146	1848	WAYPOINT
ICT	37.7452778	-97.5838889	76°	74.0	2072	1922	VOR-TAC (NAVAID)
STL	38.8607233	-90.4823489	72°	632.0	1441	2551	VOR-TAC (NAVAID)
COWES	39.2781833	-88.7719028	73°	155.0	1287	2701	Reporting Point
TILMN	39.495575	-87.8287694	69°	85.0	1202	2783	Reporting Point
SINKR	40.4512917	-84.3852028	61°	312.0	897	3082	WAYPOINT
DJB	41.3580556	-82.1619444	69°	213.0	709	3274	VOR-DME (NAVAID)
JHW	42.1886069	-79.1213078	109°	269.0	478	3530	VOR-DME (NAVAID)
HOXIE	41.8650111	-77.8526056	109°	111.0	367	3634	Reporting Point
DMACK	41.7857583	-77.5519222	110°	26.0	341	3659	Reporting Point
STENT	41.6790472	-77.1527556	360°	35.0	305	3692	Reporting Point
STENT	41.6790472	-77.1527556	110°	0.0	305	3692	Reporting Point
MAGIO	41.5273833	-76.5964944	360°	49.0	256	3738	Reporting Point
MAGIO	41.5273833	-76.5964944	110°	0.0	256	3738	Reporting Point
LVZ	41.2727989	-75.6894661	326°	81.0	175	3815	VOR-TAC (NAVAID)
LVZ	41.2728056	-75.6894722	114°	0.0	175	3815	VOR-TAC (NAVAID)
JENNO	41.1529167	-75.3314167	114°	33.0	143	3845	Reporting Point
HARTY	41.0711944	-75.0898889	114°	22.0	120	3866	Reporting Point
STW	40.9958333	-74.8690278	98°	20.0	100	3885	VOR-DME (NAVAID)
LENDY	40.9148333	-74.13525	123°	62.0	43	3947	Reporting Point
LGA	40.7837222	-73.8686111	155°	27.0	18	3970	VOR-DME (NAVAID)
KJFK	40.6399278	-73.7786925	NA	18.0	0	3979	Destination Airport
