name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KLAX	33.9424964	-118.4080486	271°	NA	3979	0	Origin Airport
DLREY	33.9436944	-118.4651389	268°	5.0	3983	5	Waypoint
ENNEY	33.9424722	-118.5057778	265°	4.0	3987	9	Waypoint
NAANC	33.9316667	-118.6438889	177°	13.0	3999	22	Waypoint
HAYNK	33.8405833	-118.6373056	146°	10.0	4003	24	Waypoint
PEVEE	33.6972222	-118.5208333	110°	19.0	3999	29	Waypoint
HOLTZ	33.6445556	-118.343	90°	17.0	3987	34	Waypoint
DOTSS	33.6441111	-117.7952778	77°	51.0	3941	66	Waypoint
EYEDL	33.7513611	-117.2336389	91°	53.0	3888	111	Waypoint
HOMER	33.7460556	-116.9738889	91°	24.0	3867	134	Waypoint
CLEEE	33.7233889	-116.0733056	71°	83.0	3792	217	Waypoint
PKE	34.1019728	-114.6820664	71°	135.0	3657	344	VOR-TAC (NAVAID)
LANCY	34.2676111	-114.0920389	71°	57.0	3600	399	WAY-PT
DRK	34.7025522	-112.4803417	56°	156.0	3445	551	VOR-TAC (NAVAID)
FLG	35.1472222	-111.6741667	60°	89.0	3358	632	VOR-DME (NAVAID)
RSK	36.7483925	-108.0988989	61°	368.0	2994	986	VOR-TAC (NAVAID)
PUB	38.2942536	-104.4294475	62°	367.0	2634	1345	VOR-TAC (NAVAID)
GLD	39.3878678	-101.6922967	66°	267.0	2374	1608	VOR-TAC (NAVAID)
LNK	40.9237939	-96.7420097	72°	454.0	1930	2060	VOR-TAC (NAVAID)
OVR	41.1672222	-95.7369444	80°	89.0	1843	2148	VOR-TAC (NAVAID)
DSM	41.4375	-93.6486111	78°	177.0	1667	2325	VOR-TAC (NAVAID)
NUTLE	42.0055889	-89.6965389	80°	334.0	1337	2659	WAYPOINT
OBK	42.2213889	-87.9516667	85°	146.0	1194	2806	VOR-DME (NAVAID)
SVM	42.4086406	-83.5939017	92°	359.0	841	3164	VOR-TAC (NAVAID)
NA	42.3837361	-82.8178583	93°	64.0	778	3227	Computer Nav Fix
BEWEL	42.2889667	-80.7451361	94°	171.0	609	3396	Reporting Point
JHW	42.1886069	-79.1213078	109°	134.0	478	3530	VOR-DME (NAVAID)
HOXIE	41.8650111	-77.8526056	109°	111.0	367	3634	Reporting Point
DMACK	41.7857583	-77.5519222	110°	26.0	341	3659	Reporting Point
STENT	41.6790472	-77.1527556	360°	35.0	305	3692	Reporting Point
STENT	41.6790472	-77.1527556	110°	0.0	305	3692	Reporting Point
MAGIO	41.5273833	-76.5964944	360°	49.0	256	3738	Reporting Point
MAGIO	41.5273833	-76.5964944	110°	0.0	256	3738	Reporting Point
LVZ	41.2727989	-75.6894661	326°	81.0	175	3815	VOR-TAC (NAVAID)
LVZ	41.2728056	-75.6894722	114°	0.0	175	3815	VOR-TAC (NAVAID)
JENNO	41.1529167	-75.3314167	114°	33.0	143	3845	Reporting Point
HARTY	41.0711944	-75.0898889	114°	22.0	120	3866	Reporting Point
STW	40.9958333	-74.8690278	98°	20.0	100	3885	VOR-DME (NAVAID)
LENDY	40.9148333	-74.13525	123°	62.0	43	3947	Reporting Point
LGA	40.7837222	-73.8686111	155°	27.0	18	3970	VOR-DME (NAVAID)
KJFK	40.6399278	-73.7786925	NA	18.0	0	3979	Destination Airport
