name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KJFK	40.6399278	-73.7786925	231°	NA	3979	0	Origin Airport
RBV	40.2024022	-74.4950261	264°	78.0	3921	78	VOR-TAC (NAVAID)
COPES	40.1307139	-75.3767694	264°	75.0	3847	147	Reporting Point
BYRDD	40.0922028	-75.8186917	263°	38.0	3810	183	Reporting Point
SAAME	40.0310611	-76.4839972	263°	57.0	3754	239	Reporting Point
LARRI	39.9506472	-77.2983722	273°	70.0	3685	309	Reporting Point
BEETS	39.9557139	-77.449875	272°	13.0	3672	321	Reporting Point
VINSE	39.9711694	-77.9558889	272°	43.0	3629	362	Reporting Point
LEJOY	40.0033944	-79.4148917	271°	124.0	3504	483	Reporting Point
AIR	40.0170242	-80.8172289	360°	120.0	3384	601	VOR-DME (NAVAID)
AIR	40.0170242	-80.8172289	269°	0.0	3384	601	VOR-DME (NAVAID)
CORVS	40.011125	-81.2309417	269°	35.0	3349	636	Reporting Point
ZANDR	40.0052083	-81.532875	269°	26.0	3323	662	Reporting Point
BOWRR	39.9661139	-83.0323556	269°	128.0	3196	789	Reporting Point
EMPTY	39.9632972	-83.1869444	268°	13.0	3182	802	Reporting Point
CREEP	39.9209111	-84.308725	267°	96.0	3087	897	Reporting Point
FYLLS	39.9067528	-84.6305111	267°	28.0	3059	925	Reporting Point
VHP	39.8147292	-86.3674997	272°	149.0	2910	1073	VOR-TAC (NAVAID)
JAAVE	39.840525	-88.2547222	270°	161.0	2749	1232	WAY-PT
GORDO	39.8417694	-88.5120306	270°	22.0	2728	1254	Reporting Point
SPI	39.8397331	-89.6777358	264°	100.0	2628	1352	VOR-TAC (NAVAID)
BAYLI	39.7089611	-91.0796167	263°	121.0	2507	1473	Reporting Point
TWAIN	39.672375	-91.4430917	262°	31.0	2476	1504	Reporting Point
SAAGS	39.4678389	-93.2863639	261°	160.0	2316	1664	Reporting Point
MCI	39.2852833	-94.7370611	360°	126.0	2190	1790	VOR-TAC (NAVAID)
MCI	39.2852833	-94.7370611	262°	0.0	2190	1790	VOR-TAC (NAVAID)
JUDGE	39.0197806	-96.9188389	260°	191.0	1999	1981	Reporting Point
SLN	38.9251381	-97.6213322	360°	62.0	1938	2042	VOR-TAC (NAVAID)
SLN	38.9251381	-97.6213322	261°	0.0	1938	2042	VOR-TAC (NAVAID)
RYLIE	38.3373111	-101.8274778	259°	372.0	1566	2413	Reporting Point
LAA	38.1970919	-102.6875322	252°	77.0	1489	2490	VOR-DME (NAVAID)
ALS	37.3491589	-105.8155328	360°	291.0	1199	2780	VOR-TAC (NAVAID)
ALS	37.3491589	-105.8155328	252°	0.0	1199	2780	VOR-TAC (NAVAID)
RSK	36.7483925	-108.0988989	360°	214.0	986	2994	VOR-TAC (NAVAID)
RSK	36.7483925	-108.0988989	257°	0.0	986	2994	VOR-TAC (NAVAID)
COCAN	36.312525	-110.3519667	256°	207.0	779	3200	Reporting Point
RHYSS	36.2053083	-110.871175	255°	48.0	731	3248	Reporting Point
TBC	36.1213119	-111.2695878	264°	37.0	694	3285	VOR-TAC (NAVAID)
JASSE	36.0709806	-111.812725	249°	49.0	646	3332	WAY-PT
AREAF	35.608825	-113.2306833	248°	138.0	508	3470	WAY-PT
ESGEE	35.1334722	-114.6226778	247°	137.0	372	3607	WAY-PT
DNERO	35.0353167	-114.9045528	192°	28.0	344	3635	WAY-PT
DNERO	35.0353056	-114.9045556	242°	0.0	344	3635	Waypoint
SLLRS	34.7931944	-115.4606667	246°	57.0	287	3692	Waypoint
FLOJO	34.6334722	-115.8932778	246°	43.0	244	3736	Waypoint
SALYY	34.4168611	-116.4770278	244°	59.0	185	3795	Waypoint
GLESN	34.3347222	-116.6763889	244°	20.0	165	3815	Waypoint
ANJLL	34.2111944	-116.9827778	252°	31.0	135	3846	Waypoint
CAANN	34.1658056	-117.1505833	252°	16.0	119	3862	Waypoint
BOYEL	34.1053056	-117.37025	253°	21.0	97	3884	Waypoint
CRCUS	34.0731944	-117.4984444	260°	12.0	85	3896	Waypoint
KLAX	33.9424964	-118.4080486	NA	85.0	0	3979	Destination Airport
