name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KDCA	38.8514403	-77.0377214	332°	NA	573	0	Origin Airport
REVGE	38.8998611	-77.0706111	299°	6.0	573	6	Waypoint
BEBLE	38.9155	-77.1074722	327°	4.0	574	9	Waypoint
COVTO	38.9471111	-77.1339444	333°	4.0	574	14	Waypoint
ALEEX	38.9839722	-77.1584722	39°	5.0	574	18	Waypoint
DOGUE	39.0419444	-77.0990278	81°	8.0	566	22	Waypoint
PHERB	39.08725	-76.7432778	80°	31.0	537	37	Waypoint
SOOKI	39.1183889	-76.5222778	82°	19.0	520	54	Waypoint
SWANN	39.1514722	-76.2288611	82°	26.0	497	78	Reporting Point
BROSS	39.1912222	-75.8805222	40°	30.0	471	107	Reporting Point
MYFOO	39.4361528	-75.6124167	40°	36.0	436	139	WAY-PT
NACYN	39.6136639	-75.4164722	40°	26.0	410	164	WAY-PT
BSERK	39.7908361	-75.219525	49°	26.0	385	188	WAY-PT
HULKK	39.9690833	-74.9544306	56°	30.0	355	218	WAY-PT
RBV	40.2024022	-74.4950261	360°	47.0	308	265	VOR-TAC (NAVAID)
RBV	40.2024022	-74.4950261	71°	0.0	308	265	VOR-TAC (NAVAID)
MYRCA	40.3452694	-73.9494639	71°	49.0	261	313	WAY-PT
CREEL	40.4473639	-73.5529667	63°	35.0	228	347	Reporting Point
HTO	40.919	-72.3166944	66°	117.0	116	464	VOR-TAC (NAVAID)
JORDN	41.0546944	-71.9146389	50°	37.0	85	501	Reporting Point
MINNK	41.3613056	-71.4242222	360°	53.0	40	553	Reporting Point
KPVD	41.7223333	-71.4277222	NA	40.0	0	573	Destination Airport
