name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KSFO	37.6188056	-122.3754167	10°	NA	544	0	Origin Airport
SSTIK	37.6783333	-122.3616667	205°	7.0	548	7	Waypoint
PORTE	37.4897778	-122.4745833	133°	23.0	539	17	Reporting Point
SUSEY	36.4324722	-121.0633333	131°	172.0	368	176	Waypoint
EBAYE	35.8687194	-120.2605583	149°	96.0	273	271	WAYPOINT
BURGL	35.6660278	-120.10775	148°	26.0	247	297	Waypoint
DOUIT	35.2888611	-119.82425	145°	49.0	198	346	Waypoint
UCANN	34.9081111	-119.49375	145°	52.0	147	397	Waypoint
ALMST	34.7405	-119.3495278	146°	23.0	124	420	Waypoint
DANYY	34.5397222	-119.1826667	147°	27.0	97	447	Waypoint
ZUUMA	34.2772222	-118.9780556	154°	35.0	64	482	Waypoint
WAKER	34.0316111	-118.8333611	104°	30.0	40	511	Reporting Point
KLAX	33.9424964	-118.4080486	NA	40.0	0	544	Destination Airport
