name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KDCA	38.8514403	-77.0377214	332°	NA	642	0	Origin Airport
REVGE	38.8998611	-77.0706111	299°	6.0	641	6	Waypoint
BEBLE	38.9155	-77.1074722	327°	4.0	642	9	Waypoint
COVTO	38.9471111	-77.1339444	333°	4.0	642	14	Waypoint
ALEEX	38.9839722	-77.1584722	39°	5.0	641	18	Waypoint
DOGUE	39.0419444	-77.0990278	81°	8.0	633	22	Waypoint
PHERB	39.08725	-76.7432778	80°	31.0	606	37	Waypoint
SOOKI	39.1183889	-76.5222778	82°	19.0	589	54	Waypoint
SWANN	39.1514722	-76.2288611	82°	26.0	567	78	Reporting Point
BROSS	39.1912222	-75.8805222	40°	30.0	542	107	Reporting Point
MYFOO	39.4361528	-75.6124167	40°	36.0	506	139	WAY-PT
NACYN	39.6136639	-75.4164722	40°	26.0	480	164	WAY-PT
BSERK	39.7908361	-75.219525	49°	26.0	455	188	WAY-PT
HULKK	39.9690833	-74.9544306	56°	30.0	425	218	WAY-PT
RBV	40.2024022	-74.4950261	39°	47.0	378	265	VOR-TAC (NAVAID)
LAURN	40.5516111	-74.1204639	73°	50.0	329	313	WAY-PT
JFK	40.6328889	-73.7713889	360°	31.0	300	343	VOR-DME (NAVAID)
JFK	40.6328889	-73.7713889	48°	0.0	300	343	VOR-DME (NAVAID)
NEWES	40.8556111	-73.4449444	48°	37.0	263	379	Reporting Point
FEXXX	41.2109722	-72.9166111	63°	59.0	204	439	Waypoint
RUIZE	41.4793333	-72.2094167	64°	66.0	140	504	Waypoint
AWLIN	41.55625	-71.9991667	68°	20.0	122	523	Waypoint
BANKI	41.5956667	-71.8676667	68°	12.0	111	535	Waypoint
ROBUC	41.6789167	-71.5851111	69°	25.0	90	560	Waypoint
PROVI	41.72375	-71.4317222	60°	14.0	79	573	Waypoint
JOODY	41.7853889	-71.2875556	20°	14.0	68	587	Waypoint
SOFEE	41.8431667	-71.2589167	20°	7.0	62	592	Waypoint
ERNEI	41.9448056	-71.2085278	2°	12.0	49	602	Waypoint
NUNZO	42.0308889	-71.2037222	24°	10.0	40	608	Waypoint
KBOS	42.3629444	-71.0063889	NA	40.0	0	642	Destination Airport
