name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KSAN	32.7335628	-117.1896633	286°	NA	3899	0	Origin Airport
JETTI	32.76375	-117.3145556	156°	12.0	3908	12	Waypoint
ZZOOO	32.6314444	-117.2458333	96°	16.0	3909	13	Waypoint
JORRJ	32.6018333	-116.9161389	77°	31.0	3883	30	Waypoint
GRIDR	32.6302222	-116.7731944	83°	14.0	3869	41	Waypoint
BLUZE	32.70125	-116.0311944	84°	70.0	3803	109	Waypoint
IPL	32.7488611	-115.5085833	12°	49.0	3757	157	VOR-TAC (NAVAID)
IPL	32.7488667	-115.5085819	88°	0.0	3757	157	VOR-TAC (NAVAID)
HEEDS	32.7603278	-115.0077306	360°	47.0	3714	204	Reporting Point
HEEDS	32.7603278	-115.0077306	89°	0.0	3714	204	Reporting Point
BZA	32.7681075	-114.6029464	89°	38.0	3679	242	VOR-TAC (NAVAID)
HOGGZ	32.7748611	-114.0692	89°	50.0	3634	292	Reporting Point
MOHAK	32.7758444	-113.9720972	80°	9.0	3626	301	Reporting Point
JUDTH	32.8165028	-113.6883944	80°	27.0	3600	328	Reporting Point
GBN	32.9562583	-112.6742717	73°	96.0	3508	423	VOR-TAC (NAVAID)
ONM	34.3388889	-106.8205556	88°	564.0	2950	978	VOR-TAC (NAVAID)
CNX	34.3670153	-105.6780047	86°	105.0	2853	1083	VOR-TAC (NAVAID)
TXO	34.4951267	-102.8396633	77°	261.0	2608	1343	VOR-TAC (NAVAID)
IRW	35.3585969	-97.6092267	82°	487.0	2132	1826	VOR-TAC (NAVAID)
BNA	36.1369444	-86.6847222	68°	990.0	1202	2815	VOR-TAC (NAVAID)
SWAPP	36.6138278	-85.1822333	69°	145.0	1059	2948	Reporting Point
GHATS	36.801875	-84.5673444	69°	59.0	1000	3003	Reporting Point
FOUNT	36.9567611	-84.0505333	70°	49.0	952	3048	Reporting Point
TONIO	37.2542222	-83.0298694	70°	96.0	856	3138	WAY-PT
KONGO	37.5054056	-82.1368222	71°	84.0	774	3217	WAY-PT
NEALS	37.5961083	-81.8068389	71°	31.0	744	3246	Reporting Point
SITTR	37.7803139	-81.12325	85°	64.0	681	3305	WAY-PT
ASBUR	37.8234472	-80.4642889	85°	58.0	629	3363	WAY-PT
DENNY	37.8667083	-79.7371528	87°	64.0	574	3427	Reporting Point
MAULS	37.8803778	-79.3303306	81°	36.0	544	3463	WAY-PT
GVE	38.0135994	-78.1530267	356°	104.0	454	3565	VOR-TAC (NAVAID)
GVE	38.0136111	-78.1530278	57°	0.0	454	3565	VOR-TAC (NAVAID)
OTT	38.7058611	-76.74475	42°	145.0	312	3685	VOR-TAC (NAVAID)
PALEO	39.028	-76.3727222	42°	48.0	264	3716	Reporting Point
PEEDS	39.1416944	-76.2403056	42°	17.0	247	3727	Reporting Point
FUBRR	39.2659444	-76.0948889	42°	19.0	228	3739	Reporting Point
DQO	39.6781389	-75.6070833	43°	62.0	166	3779	VOR-TAC (NAVAID)
STEFE	39.9653056	-75.26	43°	44.0	123	3808	Reporting Point
SOMTO	40.1261667	-75.0637222	43°	25.0	99	3825	Reporting Point
ARD	40.2533333	-74.9076111	47°	19.0	79	3838	VOR-DME (NAVAID)
DYLIN	40.2874722	-74.8598056	47°	6.0	74	3842	Reporting Point
MERSR	40.3101111	-74.828	47°	4.0	70	3844	Reporting Point
METRO	40.4227222	-74.6695278	11°	18.0	52	3857	Reporting Point
MARRT	40.6069444	-74.6202778	11°	21.0	39	3861	Waypoint
PHLBO	40.8303889	-74.5601944	115°	25.0	36	3866	Waypoint
KEWR	40.6924798	-74.1686868	NA	36.0	0	3899	Destination Airport
