name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KSAN	32.7335628	-117.1896633	286°	NA	3899	0	Origin Airport
JETTI	32.76375	-117.3145556	156°	12.0	3908	12	Waypoint
ZZOOO	32.6314444	-117.2458333	96°	16.0	3909	13	Waypoint
JORRJ	32.6018333	-116.9161389	77°	31.0	3883	30	Waypoint
GRIDR	32.6302222	-116.7731944	22°	14.0	3869	41	Waypoint
PIEZZ	33.0094167	-116.5874444	24°	46.0	3835	64	Waypoint
NSHEE	33.3993611	-116.3831111	54°	47.0	3800	106	Waypoint
MTBAL	33.6033056	-116.0423056	67°	39.0	3761	144	Waypoint
LANCY	34.2676111	-114.0920389	71°	195.0	3567	334	WAY-PT
DRK	34.7025522	-112.4803417	59°	156.0	3412	488	VOR-TAC (NAVAID)
RSK	36.7483333	-108.0988889	66°	457.0	2961	943	VOR-TAC (NAVAID)
PWE	40.2003528	-96.2062811	76°	1104.0	1863	2047	VOR-TAC (NAVAID)
LMN	40.5967644	-93.9675919	76°	195.0	1669	2242	VOR-DME (NAVAID)
JOT	41.5464186	-88.3184106	81°	486.0	1189	2728	VOR-DME (NAVAID)
GIJ	41.7686114	-86.3184519	88°	168.0	1023	2896	VOR-TAC (NAVAID)
DORET	41.8016389	-80.5846222	98°	476.0	551	3368	Reporting Point
ZORBO	41.6572444	-79.2074917	98°	116.0	436	3480	Reporting Point
SLT	41.5127594	-77.9701097	186°	104.0	332	3582	VOR-TAC (NAVAID)
SLT	41.51275	-77.9701111	101°	0.0	332	3582	VOR-TAC (NAVAID)
FQM	41.3385556	-76.7748611	109°	102.0	230	3681	VOR-DME (NAVAID)
MEGSS	41.1870278	-76.2113889	110°	50.0	180	3728	Reporting Point
HAYED	41.1439167	-76.0534444	110°	14.0	166	3741	Reporting Point
RACKI	41.0121667	-75.5769722	110°	43.0	124	3781	Reporting Point
PENNS	40.8806389	-75.1095556	110°	42.0	82	3820	Reporting Point
SWEET	40.8282778	-74.9243333	103°	17.0	65	3835	Reporting Point
KEWR	40.6924798	-74.1686868	NA	65.0	0	3899	Destination Airport
