name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KMKE	42.9469319	-87.8970644	144°	NA	1049	0	Origin Airport
PRFEC	42.6941111	-87.6436389	177°	35.0	1014	35	Waypoint
OZAUK	42.5345278	-87.6318889	177°	18.0	999	51	Waypoint
MAULT	42.4268333	-87.62325	189°	12.0	989	62	Waypoint
UECKR	42.3146111	-87.6471111	203°	13.0	980	73	Waypoint
LADDI	42.0769167	-87.7820556	181°	29.0	967	97	Waypoint
DELHI	41.9333333	-87.7861111	167°	16.0	955	113	Reporting Point
EMMLY	40.45	-87.3333333	130°	169.0	809	282	WAYPOINT
VHP	39.8147222	-86.3675	126°	108.0	701	371	VOR-TAC (NAVAID)
FLM	38.6494444	-84.3105556	133°	220.0	485	566	VOR-DME (NAVAID)
TAFTT	37.5430833	-82.8399722	136°	178.0	310	739	Waypoint
MAHAF	37.0365556	-82.2211944	151°	79.0	233	816	Waypoint
SCRZA	36.8971944	-82.1240833	151°	18.0	215	834	Waypoint
WILUM	36.43775	-81.8098889	151°	58.0	157	892	Waypoint
SUZNN	36.1506111	-81.6159167	151°	36.0	120	928	Waypoint
PARQR	35.7824722	-81.3696111	150°	47.0	74	975	Waypoint
NCOMA	35.7350833	-81.3361667	150°	6.0	68	981	Waypoint
BOATN	35.6418056	-81.2693889	85°	12.0	56	993	Waypoint
CAMPR	35.6492778	-81.169	158°	9.0	52	997	Waypoint
KCLT	35.21375	-80.9490556	NA	52.0	0	1049	Destination Airport
