name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KATL	33.6366996	-84.427864	77°	NA	3363	0	Origin Airport
RONII	33.6848611	-84.1790833	360°	24.0	3383	24	Waypoint
HOYYT	33.8484722	-84.1791667	313°	18.0	3377	33	Waypoint
PENCL	34.2553889	-84.7133056	341°	67.0	3315	74	Waypoint
LEDRR	35.1148889	-85.0798056	309°	101.0	3253	175	Waypoint
JAACE	35.5462778	-85.7486667	308°	77.0	3180	245	Waypoint
HITMN	36.1367972	-86.6847917	320°	107.0	3081	346	WAYPOINT
ENL	38.42	-89.1588889	304°	336.0	2808	682	VOR-TAC (NAVAID)
IRK	40.135	-92.5916667	294°	352.0	2488	1025	VOR-TAC (NAVAID)
OVR	41.1672222	-95.7369444	291°	289.0	2216	1303	VOR-TAC (NAVAID)
SAUGI	41.9030778	-98.4443778	272°	240.0	1991	1535	WAYPOINT
BFF	41.8941667	-103.4819444	264°	417.0	1575	1906	VOR-TAC (NAVAID)
TCH	40.8502778	-111.9819444	267°	719.0	856	2558	VOR-TAC (NAVAID)
BAM	40.5691667	-116.9222222	245°	418.0	451	2968	VOR-TAC (NAVAID)
FMG	39.5313889	-119.6561111	222°	260.0	191	3195	VOR-TAC (NAVAID)
CARVV	38.9948611	-120.2748611	284°	80.0	119	3249	Waypoint
SLMMR	39.0743056	-120.6899722	252°	37.0	89	3284	Waypoint
POZUR	38.9714722	-121.084	251°	36.0	54	3319	Waypoint
TENCO	38.8911111	-121.3874167	219°	28.0	28	3345	Reporting Point
KSMF	38.6954444	-121.5907778	NA	28.0	0	3363	Destination Airport
