name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KSMF	38.6954444	-121.5907778	89°	NA	3363	0	Origin Airport
RVRCT	38.6993333	-121.3333611	360°	22.0	3341	22	Waypoint
RVRCT	38.6993333	-121.3333611	96°	0.0	3341	22	Waypoint
DNGER	38.6484722	-120.7056944	91°	55.0	3287	77	Waypoint
RALEY	38.5721389	-118.2343333	94°	215.0	3072	292	Waypoint
JSICA	38.5205167	-117.2868167	92°	83.0	2989	375	WAY-PT
REANA	38.4	-114.3333333	107°	258.0	2732	633	WAY-PT
ROCCY	37.8282306	-111.9999556	106°	214.0	2525	843	WAY-PT
HASSL	37.5700222	-110.8835083	107°	102.0	2426	945	WAY-PT
TAHIB	37.0541611	-108.7955361	108°	194.0	2239	1138	WAY-PT
DIXAN	36.28095	-105.9554639	106°	268.0	1982	1405	Reporting Point
MIRME	35.7835333	-103.8421889	107°	198.0	1790	1603	WAY-PT
PNH	35.2350622	-101.6990308	104°	204.0	1594	1807	VOR-TAC (NAVAID)
ADM	34.2116667	-97.1683333	104°	430.0	1178	2236	VOR-TAC (NAVAID)
TXK	33.5138889	-94.0733333	103°	296.0	894	2531	VOR-TAC (NAVAID)
MERDN	32.3784333	-88.8040722	77°	508.0	432	3035	WAYPOINT
ORRKK	32.5396111	-87.9569444	77°	82.0	351	3101	Waypoint
MORDR	32.7525556	-86.7988611	78°	111.0	242	3193	Waypoint
RAETH	32.8183889	-86.42725	78°	36.0	207	3223	Waypoint
NZGUL	32.8660556	-86.1540278	78°	26.0	182	3244	Waypoint
SMAWG	33.02375	-85.2219444	53°	89.0	101	3319	Waypoint
GNDLF	33.1175556	-85.0709444	54°	18.0	83	3328	Waypoint
HALRR	33.15825	-85.00475	54°	8.0	76	3332	Waypoint
SHULR	33.2405278	-84.8716389	30°	15.0	60	3341	Waypoint
JNGLE	33.2999444	-84.8298889	360°	8.0	53	3342	Waypoint
QUBIT	33.4527778	-84.8298889	61°	17.0	43	3336	Waypoint
KATL	33.6366996	-84.427864	NA	43.0	0	3363	Destination Airport
